GEO,REF_DATE,avg_unemployment_rate
Newfoundland and Labrador,2024-03,6.59
Newfoundland and Labrador,2024-01,6.44
Newfoundland and Labrador,2024-02,6.41
Newfoundland and Labrador,2024-04,6.08
Newfoundland and Labrador,2024-12,5.83
Newfoundland and Labrador,2024-05,5.74
Newfoundland and Labrador,2024-11,5.67
Newfoundland and Labrador,2024-10,5.57
Newfoundland and Labrador,2024-08,5.51
Newfoundland and Labrador,2024-09,5.38
Newfoundland and Labrador,2024-07,5.36
Newfoundland and Labrador,2024-06,5.34
Prince Edward Island,2024-11,5.25
Prince Edward Island,2024-03,5.16
Prince Edward Island,2024-01,5.11
Prince Edward Island,2024-04,5.1
New Brunswick,2024-03,5.02
Prince Edward Island,2024-12,4.93
Prince Edward Island,2024-10,4.92
Alberta,2024-04,4.81
Prince Edward Island,2024-02,4.81
New Brunswick,2024-12,4.79
Prince Edward Island,2024-07,4.73
New Brunswick,2024-01,4.7
Prince Edward Island,2024-06,4.66
Ontario,2024-08,4.64
Alberta,2024-09,4.59
Alberta,2024-08,4.57
New Brunswick,2024-02,4.56
New Brunswick,2024-05,4.56
Alberta,2024-05,4.46
Alberta,2024-10,4.46
Nova Scotia,2024-07,4.46
Alberta,2024-11,4.44
Ontario,2024-11,4.43
Nova Scotia,2024-08,4.42
New Brunswick,2024-04,4.39
Ontario,2024-07,4.39
Alberta,2024-07,4.38
Alberta,2024-06,4.37
Prince Edward Island,2024-05,4.33
Nova Scotia,2024-01,4.32
Ontario,2024-05,4.32
Ontario,2024-12,4.31
New Brunswick,2024-07,4.27
Ontario,2024-06,4.27
Alberta,2024-02,4.26
Alberta,2024-01,4.25
Alberta,2024-03,4.25
New Brunswick,2024-11,4.24
Nova Scotia,2024-05,4.21
Nova Scotia,2024-04,4.18
Ontario,2024-03,4.18
Ontario,2024-09,4.17
Prince Edward Island,2024-08,4.17
Nova Scotia,2024-06,4.12
New Brunswick,2024-06,4.11
Ontario,2024-04,4.1
Alberta,2024-12,4.06
Nova Scotia,2024-03,4.06
Saskatchewan,2024-04,4.06
Nova Scotia,2024-09,4.03
Ontario,2024-10,3.94
Ontario,2024-02,3.93
British Columbia,2024-08,3.92
Manitoba,2024-08,3.86
Nova Scotia,2024-10,3.85
British Columbia,2024-10,3.8
Manitoba,2024-07,3.76
British Columbia,2024-09,3.75
British Columbia,2024-11,3.73
Prince Edward Island,2024-09,3.73
British Columbia,2024-07,3.72
Manitoba,2024-12,3.7
New Brunswick,2024-08,3.7
Nova Scotia,2024-11,3.69
Manitoba,2024-11,3.68
Nova Scotia,2024-12,3.66
Manitoba,2024-10,3.65
Nova Scotia,2024-02,3.63
Saskatchewan,2024-08,3.61
Saskatchewan,2024-03,3.6
Ontario,2024-01,3.58
Saskatchewan,2024-05,3.53
New Brunswick,2024-10,3.52
British Columbia,2024-12,3.51
Manitoba,2024-04,3.51
New Brunswick,2024-09,3.46
Saskatchewan,2024-11,3.46
Saskatchewan,2024-12,3.46
British Columbia,2024-03,3.43
Saskatchewan,2024-10,3.43
British Columbia,2024-05,3.4
Quebec,2024-08,3.4
Quebec,2024-07,3.39
Manitoba,2024-03,3.36
Manitoba,2024-09,3.34
Saskatchewan,2024-07,3.31
Saskatchewan,2024-02,3.29
Saskatchewan,2024-09,3.29
Saskatchewan,2024-06,3.27
British Columbia,2024-06,3.23
Quebec,2024-11,3.23
Quebec,2024-06,3.22
Saskatchewan,2024-01,3.22
Manitoba,2024-05,3.15
Manitoba,2024-06,3.13
Quebec,2024-04,3.06
British Columbia,2024-01,3.05
British Columbia,2024-04,3.04
Quebec,2024-10,3.03
British Columbia,2024-02,3.02
Manitoba,2024-02,3.0
Quebec,2024-12,2.98
Quebec,2024-03,2.97
Quebec,2024-09,2.97
Quebec,2024-05,2.95
Quebec,2024-01,2.92
Quebec,2024-02,2.88
Manitoba,2024-01,2.6
