REF_DATE,unemployment_rate
2015-01,7.0
2015-01,7.1
2015-01,0.2
2015-01,0.2
2015-01,0.3
2015-01,7.2
2015-01,7.3
2015-01,0.2
2015-01,0.2
2015-01,0.3
2015-01,15.0
2015-01,15.4
2015-01,0.8
2015-01,0.9
2015-01,1.2
2015-01,18.0
2015-01,14.0
2015-01,5.5
2015-01,5.7
2015-01,0.2
2015-01,0.2
2015-01,0.3
2015-01,5.7
2015-01,5.8
2015-01,0.3
2015-01,0.3
2015-01,0.4
2015-01,5.0
2015-01,5.4
2015-01,0.5
2015-01,0.5
2015-01,0.7
2015-01,7.4
2015-01,7.9
2015-01,0.3
2015-01,0.3
2015-01,0.5
2015-01,7.6
2015-01,8.1
2015-01,0.3
2015-01,0.3
2015-01,0.5
2015-01,16.9
2015-01,18.3
2015-01,1.2
2015-01,1.2
2015-01,1.6
2015-01,18.7
2015-01,18.2
2015-01,5.7
2015-01,6.1
2015-01,0.3
2015-01,0.3
2015-01,0.5
2015-01,5.9
2015-01,6.3
2015-01,0.4
2015-01,0.4
2015-01,0.5
2015-01,5.1
2015-01,5.7
2015-01,0.6
2015-01,0.6
2015-01,0.9
2015-01,6.5
2015-01,6.2
2015-01,0.3
2015-01,0.3
2015-01,0.5
2015-01,6.7
2015-01,6.4
2015-01,0.3
2015-01,0.3
2015-01,0.5
2015-01,12.9
2015-01,12.3
2015-01,1.1
2015-01,1.2
2015-01,1.6
2015-01,17.3
2015-01,9.5
2015-01,5.4
2015-01,5.2
2015-01,0.3
2015-01,0.3
2015-01,0.5
2015-01,5.5
2015-01,5.3
2015-01,0.4
2015-01,0.4
2015-01,0.5
2015-01,4.8
2015-01,4.9
2015-01,0.7
2015-01,0.7
2015-01,1.0
2015-02,7.0
2015-02,7.0
2015-02,0.2
2015-02,0.2
2015-02,0.3
2015-02,7.2
2015-02,7.2
2015-02,0.2
2015-02,0.2
2015-02,0.3
2015-02,14.3
2015-02,14.0
2015-02,0.8
2015-02,0.9
2015-02,1.2
2015-02,16.7
2015-02,12.5
2015-02,5.6
2015-02,5.9
2015-02,0.2
2015-02,0.2
2015-02,0.3
2015-02,5.9
2015-02,6.0
2015-02,0.3
2015-02,0.3
2015-02,0.4
2015-02,4.9
2015-02,5.5
2015-02,0.5
2015-02,0.5
2015-02,0.7
2015-02,7.5
2015-02,8.1
2015-02,0.3
2015-02,0.3
2015-02,0.5
2015-02,7.8
2015-02,8.4
2015-02,0.3
2015-02,0.3
2015-02,0.5
2015-02,16.7
2015-02,17.2
2015-02,1.2
2015-02,1.2
2015-02,1.6
2015-02,19.8
2015-02,15.9
2015-02,5.9
2015-02,6.6
2015-02,0.3
2015-02,0.3
2015-02,0.5
2015-02,6.3
2015-02,7.0
2015-02,0.4
2015-02,0.4
2015-02,0.5
2015-02,4.7
2015-02,5.4
2015-02,0.6
2015-02,0.6
2015-02,0.9
2015-02,6.4
2015-02,5.9
2015-02,0.3
2015-02,0.3
2015-02,0.5
2015-02,6.6
2015-02,5.9
2015-02,0.3
2015-02,0.3
2015-02,0.5
2015-02,11.8
2015-02,10.5
2015-02,1.1
2015-02,1.2
2015-02,1.6
2015-02,13.8
2015-02,8.5
2015-02,5.4
2015-02,5.1
2015-02,0.3
2015-02,0.3
2015-02,0.5
2015-02,5.4
2015-02,4.9
2015-02,0.4
2015-02,0.4
2015-02,0.5
2015-02,5.1
2015-02,5.6
2015-02,0.7
2015-02,0.7
2015-02,1.0
2015-03,6.9
2015-03,7.2
2015-03,0.2
2015-03,0.2
2015-03,0.3
2015-03,7.1
2015-03,7.4
2015-03,0.2
2015-03,0.2
2015-03,0.3
2015-03,14.0
2015-03,14.4
2015-03,0.8
2015-03,0.9
2015-03,1.2
2015-03,20.2
2015-03,11.1
2015-03,5.7
2015-03,6.0
2015-03,0.2
2015-03,0.2
2015-03,0.3
2015-03,5.9
2015-03,6.2
2015-03,0.3
2015-03,0.3
2015-03,0.4
2015-03,5.0
2015-03,5.5
2015-03,0.5
2015-03,0.5
2015-03,0.7
2015-03,7.3
2015-03,8.1
2015-03,0.3
2015-03,0.3
2015-03,0.5
2015-03,7.5
2015-03,8.3
2015-03,0.3
2015-03,0.3
2015-03,0.5
2015-03,16.1
2015-03,17.1
2015-03,1.2
2015-03,1.2
2015-03,1.6
2015-03,23.5
2015-03,13.6
2015-03,5.7
2015-03,6.6
2015-03,0.3
2015-03,0.3
2015-03,0.5
2015-03,5.9
2015-03,6.8
2015-03,0.4
2015-03,0.4
2015-03,0.5
2015-03,5.1
2015-03,6.0
2015-03,0.6
2015-03,0.6
2015-03,0.9
2015-03,6.6
2015-03,6.3
2015-03,0.3
2015-03,0.3
2015-03,0.5
2015-03,6.7
2015-03,6.4
2015-03,0.3
2015-03,0.3
2015-03,0.5
2015-03,11.8
2015-03,11.6
2015-03,1.1
2015-03,1.2
2015-03,1.6
2015-03,17.0
2015-03,8.4
2015-03,5.6
2015-03,5.4
2015-03,0.3
2015-03,0.3
2015-03,0.5
2015-03,5.8
2015-03,5.6
2015-03,0.4
2015-03,0.4
2015-03,0.5
2015-03,4.9
2015-03,5.0
2015-03,0.7
2015-03,0.7
2015-03,1.0
2015-04,6.9
2015-04,6.9
2015-04,0.2
2015-04,0.2
2015-04,0.3
2015-04,7.0
2015-04,7.1
2015-04,0.2
2015-04,0.2
2015-04,0.3
2015-04,15.4
2015-04,15.8
2015-04,0.8
2015-04,0.9
2015-04,1.2
2015-04,23.3
2015-04,11.8
2015-04,5.4
2015-04,5.5
2015-04,0.2
2015-04,0.2
2015-04,0.3
2015-04,5.6
2015-04,5.5
2015-04,0.3
2015-04,0.3
2015-04,0.4
2015-04,5.0
2015-04,5.3
2015-04,0.5
2015-04,0.5
2015-04,0.7
2015-04,7.1
2015-04,7.5
2015-04,0.3
2015-04,0.3
2015-04,0.5
2015-04,7.3
2015-04,7.7
2015-04,0.3
2015-04,0.3
2015-04,0.5
2015-04,17.5
2015-04,18.4
2015-04,1.2
2015-04,1.2
2015-04,1.6
2015-04,25.4
2015-04,14.8
2015-04,5.4
2015-04,5.7
2015-04,0.3
2015-04,0.3
2015-04,0.5
2015-04,5.6
2015-04,5.8
2015-04,0.4
2015-04,0.4
2015-04,0.5
2015-04,4.6
2015-04,5.3
2015-04,0.6
2015-04,0.6
2015-04,0.9
2015-04,6.7
2015-04,6.4
2015-04,0.3
2015-04,0.3
2015-04,0.5
2015-04,6.7
2015-04,6.4
2015-04,0.3
2015-04,0.3
2015-04,0.5
2015-04,13.1
2015-04,13.1
2015-04,1.1
2015-04,1.2
2015-04,1.6
2015-04,21.3
2015-04,8.5
2015-04,5.5
2015-04,5.2
2015-04,0.3
2015-04,0.3
2015-04,0.5
2015-04,5.5
2015-04,5.2
2015-04,0.4
2015-04,0.4
2015-04,0.5
2015-04,5.4
2015-04,5.1
2015-04,0.7
2015-04,0.7
2015-04,1.0
2015-05,6.5
2015-05,6.7
2015-05,0.2
2015-05,0.2
2015-05,0.3
2015-05,6.6
2015-05,6.9
2015-05,0.2
2015-05,0.2
2015-05,0.3
2015-05,14.2
2015-05,16.0
2015-05,0.8
2015-05,0.9
2015-05,1.2
2015-05,23.5
2015-05,11.8
2015-05,5.1
2015-05,5.0
2015-05,0.2
2015-05,0.2
2015-05,0.3
2015-05,5.2
2015-05,5.2
2015-05,0.3
2015-05,0.3
2015-05,0.4
2015-05,4.6
2015-05,4.2
2015-05,0.5
2015-05,0.5
2015-05,0.7
2015-05,6.9
2015-05,7.2
2015-05,0.3
2015-05,0.3
2015-05,0.5
2015-05,7.1
2015-05,7.3
2015-05,0.3
2015-05,0.3
2015-05,0.5
2015-05,15.7
2015-05,16.9
2015-05,1.2
2015-05,1.2
2015-05,1.6
2015-05,25.3
2015-05,12.4
2015-05,5.4
2015-05,5.4
2015-05,0.3
2015-05,0.3
2015-05,0.5
2015-05,5.6
2015-05,5.5
2015-05,0.4
2015-05,0.4
2015-05,0.5
2015-05,4.9
2015-05,4.9
2015-05,0.6
2015-05,0.6
2015-05,0.9
2015-05,5.9
2015-05,6.3
2015-05,0.3
2015-05,0.3
2015-05,0.5
2015-05,6.1
2015-05,6.4
2015-05,0.3
2015-05,0.3
2015-05,0.5
2015-05,12.6
2015-05,15.1
2015-05,1.1
2015-05,1.2
2015-05,1.6
2015-05,21.7
2015-05,11.1
2015-05,4.7
2015-05,4.5
2015-05,0.3
2015-05,0.3
2015-05,0.5
2015-05,4.9
2015-05,4.8
2015-05,0.4
2015-05,0.4
2015-05,0.5
2015-05,4.2
2015-05,3.4
2015-05,0.7
2015-05,0.7
2015-05,1.0
2015-06,6.6
2015-06,6.4
2015-06,0.2
2015-06,0.2
2015-06,0.3
2015-06,6.7
2015-06,6.5
2015-06,0.2
2015-06,0.2
2015-06,0.3
2015-06,14.1
2015-06,14.1
2015-06,0.8
2015-06,0.9
2015-06,1.2
2015-06,20.4
2015-06,10.4
2015-06,5.2
2015-06,4.9
2015-06,0.2
2015-06,0.2
2015-06,0.3
2015-06,5.3
2015-06,5.1
2015-06,0.3
2015-06,0.3
2015-06,0.4
2015-06,4.9
2015-06,4.3
2015-06,0.5
2015-06,0.5
2015-06,0.7
2015-06,6.9
2015-06,6.5
2015-06,0.3
2015-06,0.3
2015-06,0.5
2015-06,7.1
2015-06,6.6
2015-06,0.3
2015-06,0.3
2015-06,0.5
2015-06,15.3
2015-06,15.1
2015-06,1.2
2015-06,1.2
2015-06,1.6
2015-06,22.6
2015-06,11.0
2015-06,5.4
2015-06,4.9
2015-06,0.3
2015-06,0.3
2015-06,0.5
2015-06,5.6
2015-06,5.1
2015-06,0.4
2015-06,0.4
2015-06,0.5
2015-06,4.7
2015-06,4.1
2015-06,0.6
2015-06,0.6
2015-06,0.9
2015-06,6.2
2015-06,6.2
2015-06,0.3
2015-06,0.3
2015-06,0.5
2015-06,6.2
2015-06,6.3
2015-06,0.3
2015-06,0.3
2015-06,0.5
2015-06,12.9
2015-06,13.0
2015-06,1.1
2015-06,1.2
2015-06,1.6
2015-06,18.4
2015-06,9.7
2015-06,5.0
2015-06,4.9
2015-06,0.3
2015-06,0.3
2015-06,0.5
2015-06,5.0
2015-06,5.0
2015-06,0.4
2015-06,0.4
2015-06,0.5
2015-06,5.2
2015-06,4.5
2015-06,0.7
2015-06,0.7
2015-06,1.0
2015-07,6.8
2015-07,7.4
2015-07,0.2
2015-07,0.2
2015-07,0.3
2015-07,6.9
2015-07,7.5
2015-07,0.2
2015-07,0.2
2015-07,0.3
2015-07,14.6
2015-07,15.4
2015-07,0.8
2015-07,0.9
2015-07,1.2
2015-07,22.7
2015-07,10.7
2015-07,5.4
2015-07,5.7
2015-07,0.2
2015-07,0.2
2015-07,0.3
2015-07,5.5
2015-07,5.9
2015-07,0.3
