Industry,REF_DATE,employment_thousands
"Total, all industries",2025,21028.7
Services-producing sector,2025,16818.2
"Total, all industries",2025,13960.3
Services-producing sector,2025,11113.1
"Total, all industries",2025,11104.8
"Total, all industries",2025,9923.8
Services-producing sector,2025,9027.8
Services-producing sector,2025,7790.3
"Total, all industries",2025,7322.0
"Total, all industries",2025,6638.3
Services-producing sector,2025,6034.9
Services-producing sector,2025,5078.2
"Total, all industries",2025,4348.2
Goods-producing sector,2025,4210.5
Services-producing sector,2025,3390.7
Goods-producing sector,2025,3314.5
"Wholesale and retail trade [41, 44-45]",2025,2994.9
Health care and social assistance [62],2025,2896.0
Goods-producing sector,2025,2847.2
"Total, all industries",2025,2720.1
"Total, all industries",2025,2377.9
Services-producing sector,2025,2314.3
Health care and social assistance [62],2025,2312.5
Retail trade [44-45],2025,2273.5
Goods-producing sector,2025,2243.8
Health care and social assistance [62],2025,2070.9
"Professional, scientific and technical services [54]",2025,2008.1
"Total, all industries",2025,1970.3
Manufacturing [31-33],2025,1847.2
Services-producing sector,2025,1751.6
Health care and social assistance [62],2025,1669.7
Services-producing sector,2025,1639.1
Construction [23],2025,1633.6
"Wholesale and retail trade [41, 44-45]",2025,1633.5
Educational services [61],2025,1603.3
"Wholesale and retail trade [41, 44-45]",2025,1590.9
"Professional, scientific and technical services [54]",2025,1505.1
"Finance, insurance, real estate, rental and leasing [52, 53]",2025,1489.8
Construction [23],2025,1418.2
"Total, all industries",2025,1404.9
"Wholesale and retail trade [41, 44-45]",2025,1404.0
Manufacturing [31-33],2025,1337.1
"Total, all industries",2025,1315.2
Public administration [91],2025,1248.8
Services-producing sector,2025,1241.4
Manufacturing [31-33],2025,1231.3
Retail trade [44-45],2025,1180.3
Accommodation and food services [72],2025,1176.5
"Professional, scientific and technical services [54]",2025,1164.3
Retail trade [44-45],2025,1151.5
Educational services [61],2025,1135.3
Construction [23],2025,1123.9
"Durables [321, 327, 331-339]",2025,1112.5
Educational services [61],2025,1106.3
"Finance, insurance, real estate, rental and leasing [52, 53]",2025,1096.1
Retail trade [44-45],2025,1093.2
Finance and insurance [52],2025,1087.3
Transportation and warehousing [48-49],2025,1082.9
Services-producing sector,2025,1073.0
Construction [23],2025,970.9
Goods-producing sector,2025,957.5
Public administration [91],2025,938.7
"Wholesale and retail trade [41, 44-45]",2025,896.4
Goods-producing sector,2025,896.0
Manufacturing [31-33],2025,892.8
