REF_DATE,GEO,unemployment_rate
2020-01,Alberta,7.3
2020-01,Alberta,7.7
2020-01,Alberta,0.4
2020-01,Alberta,0.3
2020-01,Alberta,0.5
2020-01,Alberta,7.5
2020-01,Alberta,7.9
2020-01,Alberta,0.4
2020-01,Alberta,0.4
2020-01,Alberta,0.5
2020-01,Alberta,14.0
2020-01,Alberta,13.9
2020-01,Alberta,1.3
2020-01,Alberta,1.3
2020-01,Alberta,1.8
2020-01,Alberta,18.8
2020-01,Alberta,11.4
2020-01,Alberta,6.2
2020-01,Alberta,6.8
2020-01,Alberta,0.4
2020-01,Alberta,0.3
2020-01,Alberta,0.5
2020-01,Alberta,6.2
2020-01,Alberta,6.8
2020-01,Alberta,0.4
2020-01,Alberta,0.4
2020-01,Alberta,0.6
2020-01,Alberta,6.2
2020-01,Alberta,6.7
2020-01,Alberta,0.9
2020-01,Alberta,0.8
2020-01,Alberta,1.1
2020-01,Alberta,7.5
2020-01,Alberta,8.3
2020-01,Alberta,0.5
2020-01,Alberta,0.5
2020-01,Alberta,0.7
2020-01,Alberta,7.8
2020-01,Alberta,8.6
2020-01,Alberta,0.5
2020-01,Alberta,0.5
2020-01,Alberta,0.7
2020-01,Alberta,18.0
2020-01,Alberta,18.6
2020-01,Alberta,2.0
2020-01,Alberta,1.9
2020-01,Alberta,2.7
2020-01,Alberta,28.1
2020-01,Alberta,13.8
2020-01,Alberta,5.9
2020-01,Alberta,6.9
2020-01,Alberta,0.5
2020-01,Alberta,0.5
2020-01,Alberta,0.7
2020-01,Alberta,5.7
2020-01,Alberta,6.9
2020-01,Alberta,0.6
2020-01,Alberta,0.6
2020-01,Alberta,0.8
2020-01,Alberta,6.3
2020-01,Alberta,7.1
2020-01,Alberta,1.2
2020-01,Alberta,1.1
2020-01,Alberta,1.6
2020-01,Alberta,7.0
2020-01,Alberta,7.0
2020-01,Alberta,0.5
2020-01,Alberta,0.5
2020-01,Alberta,0.7
2020-01,Alberta,7.1
2020-01,Alberta,7.1
2020-01,Alberta,0.5
2020-01,Alberta,0.5
2020-01,Alberta,0.7
2020-01,Alberta,9.7
2020-01,Alberta,9.1
2020-01,Alberta,1.7
2020-01,Alberta,1.8
2020-01,Alberta,2.3
2020-01,Alberta,9.7
2020-01,Alberta,8.8
2020-01,Alberta,6.6
2020-01,Alberta,6.6
2020-01,Alberta,0.5
2020-01,Alberta,0.5
2020-01,Alberta,0.7
2020-01,Alberta,6.7
2020-01,Alberta,6.7
2020-01,Alberta,0.6
2020-01,Alberta,0.6
2020-01,Alberta,0.8
2020-01,Alberta,6.1
2020-01,Alberta,6.2
2020-01,Alberta,1.1
2020-01,Alberta,1.0
2020-01,Alberta,1.6
2020-02,Alberta,7.4
2020-02,Alberta,7.7
2020-02,Alberta,0.4
2020-02,Alberta,0.3
2020-02,Alberta,0.5
2020-02,Alberta,7.4
2020-02,Alberta,7.8
2020-02,Alberta,0.4
2020-02,Alberta,0.4
2020-02,Alberta,0.5
2020-02,Alberta,13.8
2020-02,Alberta,14.4
2020-02,Alberta,1.3
2020-02,Alberta,1.3
2020-02,Alberta,1.8
2020-02,Alberta,21.8
2020-02,Alberta,10.4
2020-02,Alberta,6.4
2020-02,Alberta,6.7
2020-02,Alberta,0.4
2020-02,Alberta,0.3
2020-02,Alberta,0.5
2020-02,Alberta,6.1
2020-02,Alberta,6.2
2020-02,Alberta,0.4
2020-02,Alberta,0.4
